
[08.01.2020 12:12:31][person position/x=-3,83,y=1,75,z=-27,75][person rotation/x=0,y=0,z=0][robot position/x=8,75,y=0,4917292,z=-13,25][robot rotation/x=0,y=-2,754696E-06,z=0][Angry=0, Sad=0, Happy=0, Disgust=0, Surprise=0, Fear=0, Neutral=0]
[08.01.2020 12:12:31][person position/x=-3,83,y=1,75,z=-27,75][person rotation/x=0,y=0,z=0][robot position/x=8,75,y=0,4917292,z=-13,25][robot rotation/x=0,y=1,397968E-05,z=0][Angry=0, Sad=0, Happy=0, Disgust=0, Surprise=0, Fear=0, Neutral=0]
[08.01.2020 12:12:32][person position/x=-3,83,y=1,75,z=-27,75][person rotation/x=0,y=0,z=0][robot position/x=8,75,y=0,4917292,z=-13,25][robot rotation/x=0,y=0,000511711,z=0][Angry=0, Sad=0, Happy=0, Disgust=0, Surprise=0, Fear=0, Neutral=0]
[08.01.2020 12:12:32][person position/x=-3,83,y=1,75,z=-27,75][person rotation/x=0,y=0,z=0][robot position/x=8,75,y=0,4917292,z=-13,25][robot rotation/x=0,y=0,0006102654,z=0][Angry=0, Sad=0, Happy=0, Disgust=0, Surprise=0, Fear=0, Neutral=0]
[08.01.2020 12:12:32][person position/x=-3,83,y=1,75,z=-27,75][person rotation/x=0,y=0,z=0][robot position/x=8,75,y=0,4917292,z=-13,25][robot rotation/x=0,y=0,0006594195,z=0][Angry=0, Sad=0, Happy=0, Disgust=0, Surprise=0, Fear=0, Neutral=0]
[08.01.2020 12:12:33][person position/x=-3,83,y=1,75,z=-27,75][person rotation/x=0,y=0,z=0][robot position/x=8,75,y=0,4917292,z=-13,25][robot rotation/x=0,y=0,00114648,z=0][Angry=0, Sad=0, Happy=0, Disgust=0, Surprise=0, Fear=0, Neutral=0]
[08.01.2020 12:12:33][person position/x=-3,83,y=1,75,z=-27,75][person rotation/x=0,y=0,z=0][robot position/x=8,75,y=0,4917292,z=-13,25][robot rotation/x=0,y=0,001178662,z=0][Angry=0, Sad=0, Happy=0, Disgust=0, Surprise=0, Fear=0, Neutral=0]
[08.01.2020 12:12:33][person position/x=-3,83,y=1,75,z=-27,75][person rotation/x=0,y=0,z=0][robot position/x=8,75,y=0,4917292,z=-13,25][robot rotation/x=0,y=0,001210809,z=0][Angry=0, Sad=0, Happy=0, Disgust=0, Surprise=0, Fear=0, Neutral=0]
[08.01.2020 12:12:33][person position/x=-3,83,y=1,75,z=-27,75][person rotation/x=0,y=0,z=0][robot position/x=8,75,y=0,4917292,z=-13,25][robot rotation/x=0,y=0,00122687,z=0][Angry=0, Sad=0, Happy=0, Disgust=0, Surprise=0, Fear=0, Neutral=0]
[08.01.2020 12:12:33][person position/x=-3,83,y=1,75,z=-27,75][person rotation/x=0,y=0,z=0][robot position/x=8,75,y=0,4917292,z=-13,25][robot rotation/x=0,y=0,001258963,z=0][Angry=0, Sad=0, Happy=0, Disgust=0, Surprise=0, Fear=0, Neutral=0]
[08.01.2020 12:12:33][person position/x=-3,83,y=1,75,z=-27,75][person rotation/x=0,y=0,z=0][robot position/x=8,75,y=0,4917292,z=-13,25][robot rotation/x=0,y=0,001274997,z=0][Angry=0, Sad=0, Happy=0, Disgust=0, Surprise=0, Fear=0, Neutral=0]
[08.01.2020 12:12:33][person position/x=-3,83,y=1,75,z=-27,75][person rotation/x=0,y=0,z=0][robot position/x=8,75,y=0,4917292,z=-13,25][robot rotation/x=0,y=0,001307037,z=0][Angry=0, Sad=0, Happy=0, Disgust=0, Surprise=0, Fear=0, Neutral=0]
[08.01.2020 12:12:33][person position/x=-3,83,y=1,75,z=-27,75][person rotation/x=0,y=0,z=0][robot position/x=8,75,y=0,4917292,z=-13,25][robot rotation/x=0,y=0,001323043,z=0][Angry=0, Sad=0, Happy=0, Disgust=0, Surprise=0, Fear=0, Neutral=0]
[08.01.2020 12:12:33][person position/x=-3,83,y=1,75,z=-27,75][person rotation/x=0,y=0,z=0][robot position/x=8,75,y=0,4917292,z=-13,25][robot rotation/x=0,y=0,00135503,z=0][Angry=0, Sad=0, Happy=0, Disgust=0, Surprise=0, Fear=0, Neutral=0]
[08.01.2020 12:12:33][person position/x=-3,83,y=1,75,z=-27,75][person rotation/x=0,y=0,z=0][robot position/x=8,75,y=0,4917292,z=-13,25][robot rotation/x=0,y=0,00137101,z=0][Angry=0, Sad=0, Happy=0, Disgust=0, Surprise=0, Fear=0, Neutral=0]
[08.01.2020 12:12:33][person position/x=-3,83,y=1,75,z=-27,75][person rotation/x=0,y=0,z=0][robot position/x=8,75,y=0,4917292,z=-13,25][robot rotation/x=0,y=0,001402943,z=0][Angry=0, Sad=0, Happy=0, Disgust=0, Surprise=0, Fear=0, Neutral=0]
[08.01.2020 12:12:33][person position/x=-3,83,y=1,75,z=-27,75][person rotation/x=0,y=0,z=0][robot position/x=8,75,y=0,4917292,z=-13,25][robot rotation/x=0,y=0,001434841,z=0][Angry=0, Sad=0, Happy=0, Disgust=0, Surprise=0, Fear=0, Neutral=0]
[08.01.2020 12:12:33][person position/x=-3,83,y=1,75,z=-27,75][person rotation/x=0,y=0,z=0][robot position/x=8,75,y=0,4917292,z=-13,25][robot rotation/x=0,y=0,001450777,z=0][Angry=0, Sad=0, Happy=0, Disgust=0, Surprise=0, Fear=0, Neutral=0]
[08.01.2020 12:12:33][person position/x=-3,83,y=1,75,z=-27,75][person rotation/x=0,y=0,z=0][robot position/x=8,75,y=0,4917292,z=-13,25][robot rotation/x=0,y=0,001482622,z=0][Angry=0, Sad=0, Happy=0, Disgust=0, Surprise=0, Fear=0, Neutral=0]
[08.01.2020 12:12:33][person position/x=-3,83,y=1,75,z=-27,75][person rotation/x=0,y=0,z=0][robot position/x=8,75,y=0,4917292,z=-13,25][robot rotation/x=0,y=0,001498531,z=0][Angry=0, Sad=0, Happy=0, Disgust=0, Surprise=0, Fear=0, Neutral=0]
